5K,10K,20K,40K,80K,160K,320K,5K_time,10K_time,20K_time,40K_time,80K_time,160K_time,320K_time
22277,1140,5266,1373,1740,1335,845,807,82,193,129,116,89,66
12680,6748,3029,1915,1123,1102,808,551,350,141,125,117,84,62
12096,8997,2392,2001,1123,938,937.5,642,630,272,142,117,98,75
2080,2788,3723,1404,1154,1866,871,138,158,565,108,101,141,67
5013,2482,7751,3483,2906,802,973,235,156,189,203,187,63,98
4227,11205,2720,2105,856,1006,777,288,644,745,171,85,79,60
7210,3546,11218,1376,1240,3744,1005,831,198,335,125,114,238,79
11551,1730,1958,942,2476,881,1273,534,306,175,78,164,69,86
6716,941,1232,,3900,780,776,489,77,130,,290,61,60
14930,970,2916,,2787,945,780,795,93,220,,177,75,61
13235,3684,2850,,,,970,628,239,224,,,,74
4866,1779,1879,,,,,313,175,156,,,,
13270,2009,,,,,,705,143,,,,,
3844,7119,,,,,,220,470,,,,,
5598,4792,,,,,,328,299,,,,,
2736,4475,,,,,,238,402,,,,,
9800,3507,,,,,,671,259,,,,,
1837,2683,,,,,,171,231,,,,,
4666,3442,,,,,,252,206,,,,,
,2019,,,,,,,133,,,,,
,4981,,,,,,,287,,,,,
